Entity1	Entity2	Strength
长青尖椒	乐果	1
蓝莓李果	亮蓝	1
香脆萝卜	糖精钠	1
粉皮	铝	1
香肠	山梨酸	1
芝麻白苏打饼干	山梨酸	1
新疆绿葡萄干	霉菌	1
果仁味月饼	金黄色葡萄球菌	1
美味薯条	乙二胺四乙酸二钠	1
姜笋	糖精钠	1
果仁味月饼	沙门氏菌	1
果仁味月饼	霉菌	1
沙拉海藻	山梨酸	1
婴儿配方奶粉	二十二碳六烯酸	1
风琴鱿鱼片	N-二甲基亚硝胺	4
熏带鱼	氯化物	2
［畅销］鲜鸡蛋	甲硝唑	1
千张	铝	1
草公鸡	多西环素	1
葆元人家鲜羊奶	硒	1
腌萝卜	环己基氨基磺酸钠	1
腌萝卜	甜蜜素	1
红薯粉条	二氧化硫	1
澳健莱B族维生素片	叶酸	1
鲜脆海带	山梨酸	1
花鲢	地西泮	4
风味油豆鼓	甜蜜素	1
柚子绿茶	茶多酚	1
黑芝麻糊	霉菌	3
九菇鲜	能量	1
鸡味鲜精固态调味料	谷氨酸钠	1
嫩姜	铅	3
五香干	苯甲酸	2
方顺和薄烧饼	糖精钠	2
扁面	脱氢乙酸	1
奶茶	日落黄	3
婴儿配方奶粉	二十碳四烯酸	1
活鲫鱼	恩诺沙星	1
婴儿配方奶粉	低聚果糖	2
坚果藕粉羹	霉菌	1
婴儿配方奶粉	多聚果糖	1
好丽友·派 涂饰蛋类芯饼 巧克力味	安赛蜜	1
爽口脆瓜	阿斯巴甜	1
油冬菜	甲基异柳磷	1
山花原蜜	呋喃唑酮	1
车厘子味李干	糖精钠	1
车厘子味李干	山梨酸	1
车厘子味李干	苯甲酸	1
车厘子味李干	苋菜红	1
广式草莓味月饼	防腐剂	1
煎炸油	极性组分	1
湿面条	脱氢乙酸	1
美国西梅	苯甲酸	1
豆腐小笼包	沙门氏菌	1
粉干	脱氢乙酸	5
奶茶	亮蓝	1
奶茶	糖精钠	2
包心菜	乐果	1
农夫山泉饮用天然水	偏硅酸	2
奶茶	山梨酸	1
上海青	氟	3
压板豆腐	苯甲酸	1
水塔烹饪葱姜料酒	山梨酸	1
玫瑰月饼	苯甲酸	1
单晶体冰糖	还原糖	1
红心地瓜干	乙二胺四乙酸二钠	1
绿豆粉丝	铝	1
葵花籽	甜蜜素	1
京江牌镇江特产陈醋	总酸	1
泰式青柠果汁茶饮料	咖啡因	2
本芹	辛硫磷	1
线椒	镉	4
香烤小黄鱼	山梨酸	1
花雕酒	苯甲酸	1
盛华米酒	总酸	1
子怡幼儿配方奶粉	叶黄素	1
醉泥螺	净	2
子怡幼儿配方奶粉	低聚果糖	1
香醇拼配咖啡豆	赭曲霉毒素A	1
特浓拼配咖啡豆	赭曲霉毒素A	1
小白菜	氟	5
土鸡蛋	磺胺类	1
开心派蛋糕	纳他霉素	1
青椒	镉	5
精制康砖	氟	1
康师傅 绿茶 调味茶饮品	咖啡因	1
酱油鸡	山梨酸	1
面疙瘩	脱氢乙酸	7
味付笋片	糖精钠	1
卤豆腐干条	糖精钠	1
娜萍雪菜	氯化钠	1
娜萍雪菜	食盐	1
谋水牌岳西炒青茶	草甘膦	1
红豆花卷	糖精钠	1
梭子蟹	氟	1
铜锣糕	苯甲酸	1
啤酒	警示语标注	2
味付笋片	山梨酸	1
炸鸡排	苯甲酸	1
味付笋片	脱氢乙酸	1
猪肉	甲硝唑	1
味付笋片	苯甲酸	1
铜锣糕	糖精钠	3
冰糖樱桃	山梨酸	1
鲜猪肉全精后腿肉	五氯酚酸钠	1
土公鸡	替米考星	1
黄颡鱼	氟	1
去皮猪五花肉	五氯酚酸钠	1
致中和牌五加皮酒	霉菌	1
康保聪英莱克牌维生素A维生素D软胶囊	霉菌	1
湿面筋	脱氢乙酸	1
油焖香笋	山梨酸	2
奥维斯牌维D钙软胶囊	霉菌	1
豆沙月饼	霉菌	1
*菠菜400g W	毒死蜱	1
吊龙	五氯酚酸钠	1
精品荞麦烧	甜蜜素	1
百叶龙料酒	氨基酸态氮	1
苹果烧	甲醇	1
三年陈）	甜蜜素	1
香又酸香醋	总酸	1
康保聪英莱克牌维生素A维生素D软胶囊	铅	1
东海黄鱼	磺胺类	2
毛毛菜	啶虫脒	3
日式鳗鱼丝	山梨酸	3
鲜活大头虾	恩诺沙星	1
豆沙花卷	糖精钠	1
黄泥螺	苯甲酸	1
蜜松煎饼	山梨酸	1
金桔	乙二胺四乙酸二钠	1
黄桃果町口袋面包	铝	1
苏打面	脱氢乙酸	1
大哥大口客榨菜芯	含盐量	1
大哥大口客榨菜芯	氯化钠	1
甲鱼	呋喃唑酮	2
婴儿配方奶粉	乙基香兰素	1
白挂面	脱氢乙酸	1
青菜	甲氨基阿维菌素苯甲酸盐	3
青菜	苯甲酸	3
白花生	黄曲霉毒素B1	1
甲鱼	氟	4
长豇豆	乐果	2
茄子	戊唑醇	2
儿童榨菜丝	净	1
核桃芝麻糊	霉菌	1
云南密桔	联苯菊酯	1
啤酒	甲醛	1
雪碧沙冰	糖精钠	1
方头鱼	挥发性盐基氮	1
红油辣丁	防腐剂	1
芹菜	灭蝇胺	1
鲜鸭蛋	氟	6
手工饼	脱氢乙酸	2
外婆亲亲味梅干菜	防腐剂	1
大旺桔	胭脂红	1
腌雪菜	苯甲酸	1
料酒	氨基酸态氮	3
进口香蕉	吡虫啉	3
香葱	水胺硫磷	2
干香菇	二氧化硫	1
提子蛋糕	脱氢乙酸	1
红鸡蛋	甲硝唑	2
纸杯蛋糕	脱氢乙酸	1
乌鸡	呋喃西林代谢物	1
纯味雪菜	苯甲酸	2
小蛋糕	脱氢乙酸	1
小蛋糕	铝	1
鸡肉	五氯酚酸钠	1
白玉蒜	糖精钠	4
香葱	氟	1
三衢山泉饮用纯净水	铜	1
恒大兴安食用植物调和油	乙基麦芽酚	1
果牛百香果果汁饮料	糖精钠	1
相思卷	脱氢乙酸	1
牛肉	磺胺类	1
鲜鸡蛋	地美硝唑	2
牛肉	多西环素	1
阿六頭浓香型白酒	氰化物	1
盐津陈皮	山梨酸	1
水蜜桃干	山梨酸	1
强进蓝莓汁饮料	糖精钠	1
鲜鸡蛋	氟甲砜霉素	1
鲜鸡蛋	甲砜霉素	1
杨枝甘露味吸吸果冻	糖精钠	1
海鲈鱼	恩诺沙星	1
海鲈鱼	环丙沙星	5
荞麦烧酒	甲醇	2
饮用纯净水	电导率	1
鸡胗	五氯酚酸钠	1
牛腩	五氯酚酸钠	1
包头鱼	五氯酚酸钠	2
馄饨皮	苯甲酸	1
白壳鸡蛋	甲砜霉素	1
兰亭玫瑰腐乳	苯甲酸	1
凤爪	山梨酸	1
亨科思牌钙颗粒	霉菌	1
酱腌菜	苯甲酸	1
糖桔	乙二胺四乙酸二钠	1
酱鸭腿	糖精钠	1
高粱原浆	甜蜜素	1
白壳鸡蛋	氟	2
燕麦红曲酒	甜蜜素	1
腌什锦菜	苯甲酸	1
红烧肉	苯甲酸	1
甜口饮用纯净水	耗氧量	1
芹菜	百菌清	1
腌姜芽	苯甲酸	1
纯藕粉	霉菌	1
小白菜	啶虫脒	1
腌萝卜	苯甲酸	1
粉条	铝	1
明秀饮用纯净水	铜	1
腌大蒜	苯甲酸	2
祖名臭豆腐	丙酸	1
祖名臭豆腐	钙	1
小黄瓜	糖精钠	2
酥萝卜	苯甲酸	1
牛肉	呋喃唑酮	1
冬菜	苯甲酸	1
千山秀天然山泉	铜	1
香酥鱼排	N-二甲基亚硝胺	1
包芥菜	苯甲酸	1
胡萝卜	氟	5
黄老倌碎豇豆	苯甲酸	1
大生姜	噻虫嗪	1
酥萝卜	糖精钠	1
康源纯净水	铜	1
什锦菜	糖精钠	1
小黄瓜	甜蜜素	2
香菇包	甜蜜素	1
青雪菜	亚硝酸盐	1
青雪菜	硝酸盐	1
鸭蛋	磺胺类	3
毛毛菜	阿维菌素	4
鸡肉	环丙沙星	1
面条	脱氢乙酸	1
糖洋	脱氢乙酸	1
奥尔良烤肠	山梨酸	1
青花椒炒龙虾	脱氢乙酸	1
香酥小麻花	糖精钠	1
酥糖	霉菌	1
百叶豆腐	脱氢乙酸	1
白糖馒头	乙酰磺胺酸钾	1
白糖馒头	安赛蜜	1
鹅蛋	氟	1
鹅蛋	甲砜霉素	1
粮食酒	甜蜜素	1
羊肉	磺胺类	3
奶油曲奇饼干	山梨酸	1
野生鳊鱼	恩诺沙星	1
白茶	草甘膦	1
白糖馒头	甜蜜素	4
玉米烧	甜蜜素	3
红鲳鱼	孔雀石绿	1
油豆腐	铅	1
海绵蛋糕	脱氢乙酸	2
腌辣椒	糖精钠	1
鱼饼	脱氢乙酸	2
包装饮用天然水	铜	3
鸭肉	呋喃唑酮	1
豆干	脱氢乙酸	1
肉包	乙酰磺胺酸钾	1
肉包	安赛蜜	1
鲫鱼	氯霉素	1
小青菜	溴氰菊酯	1
香辣味海带丝	苯甲酸	1
开洋豆干	铅	1
小青菜	阿维菌素	5
无核大乌梅	亮蓝	1
无核大乌梅	苋菜红	1
夹心猪肉	磺胺类	1
乌鸡	尼卡巴嗪	2
香海黄鱼酥	N-二甲基亚硝胺	1
苏式话梅	铅	1
云峰小京生	霉菌	1
乌梅干	苋菜红	1
沼虾	土霉素	1
一级香蕉	吡虫啉	1
粉壳鸡蛋	氟	1
土姜	镉	1
趙記油赞子	铝	1
土姜	铅	2
状元糕	霉菌	3
夹心桂花糕	霉菌	1
鲜活泥鳅	恩诺沙星	2
乌鸡胗	氯霉素	1
美味鳕鱼片	N-二甲基亚硝胺	1
徐香猕猴桃	氯吡脲	4
御江堂®高山毛峰	水胺硫磷	1
杏仁	苯甲酸	1
甘草西瓜子	糖精钠	1
红心地瓜干	二氧化硫	2
五香味鹌鹑蛋	山梨酸	1
桂花味话梅	甜蜜素	1
全麦红豆粗粮饼	脱氢乙酸	1
凤梨酥	脱氢乙酸	1
方便食品	脱氢乙酸	1
藤桥熏鸡	氯霉素	1
姚生记奶香味香瓜子	日落黄	1
姚生记奶香味香瓜子	铝	6
香辣金针菇	乙二胺四乙酸二钠	1
新安要素	二十二碳六烯酸	1
四川特产年货 天然野生嫩竹笋干 笋子笋尖 农家烟熏干笋1斤包邮	二氧化硫	1
海鲜虾肉粥	霉菌	1
原味熟黑花生	霉菌	1
源生堂牌海狗人参丸	西地那非	1
美味珍珠香菇	苯甲酸	2
宁波雪菜	二氧化硫	1
柏客健牌氨基葡萄糖硫酸软骨素骨胶原蛋白钙胶囊	灰分	1
東北坊小米酒	甜蜜素	1
枣花蜂蜜	氯霉素	2
双喜糖果	二氧化硫	1
鹌鹑蛋	甲砜霉素	2
姚生记奶香味香瓜子	环己基氨基磺酸钠	1
姚生记奶香味香瓜子	甜蜜素	1
淆参香菊片	铅	1
海米	二氧化硫	1
魔鬼辣条	脱氢乙酸	1
农家土鸡	多西环素	1
蓝莓李果	苋菜红	1
卤汁花生	山梨酸	1
她他鸭翅	山梨酸	1
金曲酒	总酯	1
竹荪	二氧化硫	1
萧山萝卜干	苯甲酸	13
苋菜	甲胺磷	2
食品添加剂香兰素	熔点	2
即食海蜇皮	苯甲酸	1
青虾	呋喃西林代谢物	2
一级大豆油	月桂酸	1
手工传统酱油	氨基酸态氮	1
白姜芽	甜蜜素	1
王哥庄大馒头	脱氢乙酸	1
即食燕麦片	霉菌	1
源生堂牌海狗人参丸	总汞	1
蒜	二氧化硫	1
野乌梅	亮蓝	1
海霸雪里蕻	苯甲酸	1
珍味烤鱼片	N-二甲基亚硝胺	1
杏条	二氧化硫	2
红杏干	二氧化硫	1
食品添加剂香兰素	香兰素	2
萧山萝卜干	甜蜜素	2
妈咪朵益生菌米乳	烟酸	1
甘草瓜子	罗丹明B	1
矿泉水	界限指标-锶	1
北京烤鸭	铝	1
鸡味鲜精调味料	甜蜜素	2
香辣小小酥	糖精钠	1
民歌凉粽	商业无菌	1
状元洲·爱硒状元米	镉	1
泡椒凤爪	脱氢乙酸	2
冰片糕	霉菌	1
冬瓜荷叶茶	咖啡因	1
味极鲜酱油汁	甜蜜素	1
克力架饼干	铝	1
进口香蕉	噻虫胺	3
甘草瓜子	糖精钠	1
开胃丝	脱氢乙酸	2
嘉士利果乐果香果酱味夹心饼干	霉菌	1
葛根粉	霉菌	1
五香牛腱	山梨酸	1
甘草瓜子	铅	1
萧山萝卜干	山梨酸	3
面条	山梨酸	1
山东老面馒头	脱氢乙酸	1
乌李梅	苋菜红	1
香干	双乙酸钠	2
良琴豆腐乳	苯甲酸	1
菠菜粉	铅	1
桂花莲子藕粉	霉菌	1
紫菜	霉菌	1
贝朗宁植物钙粉营养素固体饮料	钙	1
纯生野葛粉	霉菌	1
热销四川叙永 特产 水尾大竹笋 干笋子 鲜笋 每把 2斤重88元包邮	二氧化硫	1
黄料酒	氨基酸态氮	1
卤汁花生	苯甲酸	1
伊珠全汁桃红葡萄酒	甜蜜素	1
天山乌梅	日落黄	1
姚生记奶香味香瓜子	霉菌	1
樱花牌决明子山楂茶	霉菌	1
农家手工老面馒头	脱氢乙酸	1
豆瓣鲜酱	氨基酸态氮	1
五香牛腱	防腐剂	1
润枝牌润芝胶囊	霉菌	1
姚生记奶香味香瓜子	胭脂红	1
野豆腐	脱氢乙酸	1
山楂片	苯甲酸	2
小青瓜	苯甲酸	3
杏脯	二氧化硫	1
浔阳楼草饼	霉菌	1
姜粉	铅	1
霸王香米	镉	1
多哆米长粒香软米	镉	1
筒筒笋 倒挂笋 烟笋	二氧化硫	1
香酥饼	脱氢乙酸	1
聖糖牌宏泰胶囊 糖尿病型	格列本脲	1
甘草瓜子	滑石粉	2
硒香米	镉	1
野乌梅	苋菜红	1
浓汁五加皮	甜蜜素	1
茶花粉	霉菌	1
沙琪玛	霉菌	1
绵白糖	还原糖	4
葡萄干	霉菌	1
腌渍食用菌	防腐剂	1
拉丝果	二氧化硫	1
山东全麦馒头	脱氢乙酸	1
全良液酒	甜蜜素	1
双宫灯料酒	苯甲酸	3
水阳三宝豆腐干	苯甲酸	1
八伴仙雪菜	甜蜜素	1
羊后腿肉	氟	2
甘草瓜子	胭脂红	1
甘草瓜子	铝	6
人参八宝丸	山梨酸	1
香辣鱿鱼头	N-二甲基亚硝胺	1
牙签瓜子	二氧化硫	1
乌梅	胭脂红	1
鸡蛋干	苯甲酸	1
蜂蜜	氯霉素	1
贵人香干白葡萄酒	二氧化硫	1
飞红香晚籼米	镉	1
紫菜	铅	2
黄花鱼	恩诺沙星	1
香酥小黄鱼	N-二甲基亚硝胺	1
食品添加剂香兰素	溶解度	2
吾爱吾谷墨江紫米	镉	1
精美牛腩块	能量	1
荷里活纯藕粉	霉菌	1
果丹皮	防腐剂	1
槐花蜂蜜	果糖和葡萄糖	1
方正山楂	防腐剂	1
四峰油炒萝卜干	能量	2
槽子糕	防腐剂	1
四川特产烟熏大竹笋干天然野生筒筒笋	二氧化硫	1
深海墨鱼	镉	1
虾皮	山梨酸	1
得一闲·品茗香龙井茶	氰戊菊酯	1
辣子鸡丁	苯甲酸	1
六安瓜片	氰戊菊酯	1
冻三眼蟹	镉	1
五红汤	霉菌	1
陈年高粱酒	甜蜜素	1
木瓜葛根魔芋粉	霉菌	1
特级香米	镉	1
酸梅汤风味饮品	净	1
核桃加钙黑芝麻糊	霉菌	1
红豆粽	商业无菌	1
皮蛋	苯甲酸	2
鳕鱼片	N-二甲基亚硝胺	1
麻辣鱼调料	脱氢乙酸	1
樟树贡酒	丙酸	1
红娘鱼片	山梨酸	2
西瓜风味固体饮料	霉菌	1
钱龙牌爽口菜	二氧化硫	1
蓑衣佬农·香油粘米	镉	1
明月山籼米	镉	1
方便玉米糁	霉菌	1
九制陈皮	铅	1
调味面制品	脱氢乙酸	1
老式割蜜	氟	1
2017新笋干 新农家嫩毛竹笋 干货 笋尖 土特产 玉兰片	二氧化硫	1
泾阳茯砖茶-帝茯1368	氟	1
手工酿造酱油	氨基酸态氮	3
手工酿造酱油	铵盐	1
排骨板栗粽	商业无菌	3
梨	多菌灵	1
和田杏干	苯甲酸	1
五味子蜂蜜	氟	1
通用型	铁	1
巴马大米	镉	1
油菜蜂花粉	霉菌	1
五香料酒	甜蜜素	1
无蔗糖藕粉	霉菌	1
牛腩	克伦特罗	1
枣花蜂蜜	氟	1
红椒	噻虫胺	2
香酥红娘鱼	柠檬黄	1
青梅酒	甜蜜素	1
玉米面馒头	脱氢乙酸	1
原味话梅	甜蜜素	1
泾茯源茯茶-珍藏版	氟	2
泾阳茯砖茶·花开月圆450g	氟	2
鲜活面包蟹	镉	1
鲜丝羽乌鸡	磺胺类	1
樱桃蔓越莓果汁饮料浓浆	甜蜜素	1
简妙沙河粉	二氧化硫	1
速食银耳羹	霉菌	1
矿泉水	界限指标-硒	1
蕨菜	二氧化硫	1
橙滴果粒饮料	山梨酸	1
冰糖金桔	乙二胺四乙酸二钠	1
黑芝麻核桃黑豆粉	霉菌	1
卤味牛肚	苯甲酸	1
艾德熊乐啤露碳酸饮料	苯甲酸	1
酸奶颗粒燕麦片	霉菌	1
黑芝麻核桃黑豆桑葚粉	霉菌	1
酱茄子	甜蜜素	1
红枣原浆酒 5年63度原浆	净	1
顶佳田园本鸡蛋	恩诺沙星	1
顶佳田园本鸡蛋	环丙沙星	1
香辣萝卜	甜蜜素	2
青梅酒	氰化物	1
正蟹	镉	1
果味型果冻	甜蜜素	1
巴西回锅肉	脱氢乙酸	2
紫皮腰果	霉菌	1
花边晚饵块粑	脱氢乙酸	2
化核梅条	日落黄	1
焦糖瓜子	霉菌	1
碧螺春茶	水胺硫磷	1
芹菜粉	铅	1
黄油饼	脱氢乙酸	1
米兰跳糕	柠檬黄	1
闽東家酒	甜蜜素	1
一品雪菜王	亚硝酸盐	1
一品雪菜王	硝酸盐	1
椴树蜂蜜	氟	2
通用型	锰	1
龙竹牌榨菜丝	苯甲酸	1
黑芝麻核桃桑葚混合粉	霉菌	1
香酥饼	山梨酸	1
圣女果	苯甲酸	1
甘草瓜子	环己基氨基磺酸钠	1
甘草瓜子	甜蜜素	1
沙嗲猪肉干	山梨酸	2
混合水果燕麦片	霉菌	2
蓑衣佬农•有机米	镉	1
夹心曲奇饼干	能量	1
甘甜金桔	乙二胺四乙酸二钠	1
益生元护畅婴儿营养米粉	镉	1
姚生记奶香味香瓜子	乙酰磺胺酸钾	1
姚生记奶香味香瓜子	安赛蜜	1
甘草瓜子	二氧化硫	1
苦竹笋片 苦笋干	二氧化硫	1
焦糖瓜子	糖精钠	1
辣嘴兽辣片	脱氢乙酸	1
甘草瓜子	柠檬黄	1
开口爽金针菇	防腐剂	1
条冻去头野生小黄鱼	挥发性盐基氮	1
百合干	二氧化硫	1
甘草杏肉	脱氢乙酸	1
王哥庄风味馒头	脱氢乙酸	5
蟹	镉	1
多彩坚果仁	霉菌	2
无蔗糖藕粉	铝	1
黄酒	糖精钠	1
全营养整蛋白型	α-亚麻酸	1
全营养整蛋白型	亚麻酸	1
羊后腿肉	恩诺沙星	1
羊后腿肉	环丙沙星	1
萧山萝卜条	防腐剂	2
延更丹牌青松丸	铅	1
竹香低钠盐	碘	3
拉丝果	甜蜜素	1
鲜海鸭蛋	氟	1
甲鱼	磺胺类	1
皇家宝贝薏米红枣婴幼儿营养米粉	镉	1
千秋甘姜王	甜蜜素	1
玉米馒头	脱氢乙酸	1
豪士乳酸菌面包	沙门氏菌	1
猕猴桃干	二氧化硫	1
卡拉胶	干燥减量	1
话梅	二氧化硫	1
丝可培牌桑蚕参胶囊	格列本脲	1
九制老陈皮	山梨酸	1
Appy小猪佩奇香橙苹果儿童果汁饮料	霉菌	1
无核葡萄干	霉菌	3
东北黑蜂雪蜜	氟	1
白姜芽	糖精钠	1
珍硒深山米	镉	1
酱茄子	苯甲酸	1
甘草瓜子	苋菜红	1
酱茄子	糖精钠	1
果肉果冻	苯甲酸	1
贡椒萝卜干	山梨酸	1
糖醋大蒜	阿斯巴甜	4
牛肝	克伦特罗	1
洪江雪峰乌骨鸡	氟	1
矿泉水	亚硝酸盐	1
矿泉水	硝酸盐	1
臻昔冰粉果冻	霉菌	1
酸汤锅底料	防腐剂	1
加铁加锌金装营养米粉	镉	1
臭大蒜	苯甲酸	1
姚生记奶香味香瓜子	滑石粉	1
萧山萝卜	苯甲酸	1
苹果汁饮料浓浆	甜蜜素	1
冰醋姜	乙酰磺胺酸钾	1
冰醋姜	安赛蜜	1
新牧哥™️风干牛肉	苯甲酸	1
麻辣海带扣	铅	1
老婆饼	脱氢乙酸	1
石台硒米	镉	1
樟树贡	总酯	1
家乡酒	己酸乙酯	1
云盛酱香王朝酒	甜蜜素	1
丝可培牌桑蚕参胶囊	灰分	1
奶香小馒头	脱氢乙酸	1
汉中大米	镉	1
微脖达人	山梨酸	1
卡吉诺菠萝味面包	防腐剂	1
姚生记奶香味香瓜子	黄曲霉毒素B1	1
黄花菜	铅	1
香酥黄鱼	N-二甲基亚硝胺	2
辣嘴兽辣条	脱氢乙酸	1
樟树贡酒	总酯	1
通用型	α-亚麻酸	1
通用型	亚麻酸	1
李干	防腐剂	1
会兴腊肠	氯霉素	1
龙竹牌榨菜丝	防腐剂	2
生姜片	二氧化硫	1
巴旦木	二氧化硫	1
植物蛋白金装营养米粉	镉	1
甘草粉	霉菌	1
四月茶侬桂花	二氧化硫	1
花生油	黄曲霉毒素B1	1
巨峰葡萄	氯氰菊酯	1
山西陈醋	总酸	2
豆饽饽	脱氢乙酸	1
南北通道紫香米	无机砷	1
爽口含片	糖精钠	1
阿胶红枣核桃粉	霉菌	1
小鸟阿吉	纳他霉素	2
新梅山源水酒	山梨酸	1
冰鲜大黄鱼	氟	2
红娘鱼	山梨酸	1
佳兰香飘飘香辣花生牛肉味	二氧化硫	1
南瓜玉米糊	霉菌	3
糖水杨梅罐头	诱惑红	1
方正山楂	苯甲酸	1
东海大陈洋大黄鱼	氟	1
卡吉诺菠萝味面包	脱氢乙酸	1
白姜芽	苯甲酸	1
鲜味生抽无碘酱油	氨基酸态氮	1
枣泥蛋糕	苯甲酸	1
白壳鸡蛋	甲硝唑	2
大鲫鱼	恩诺沙星	1
大鲫鱼	环丙沙星	1
柠檬干片	二氧化硫	1
特级初榨橄榄油	香兰素	1
剁椒	防腐剂	1
洋糕	糖精钠	1
洋糕	甜蜜素	3
笋干	二氧化硫	1
糯米料酒	氨基酸态氮	1
梨	咪鲜胺	1
梨	锰	1
茶π蜜桃乌龙茶	茶多酚	2
红的小米辣	镉	1
熏干	双乙酸钠	1
海带丝	铅	1
农夫山泉饮用天然水	余氯	1
农夫山泉饮用天然水	耗氧量	2
农夫山泉白开水	耗氧量	1
奇亚籽桂花坚果藕粉羹	霉菌	2
牛排	五氯酚酸钠	1
牛肉	土霉素	2
即食羊栖菜	脱氢乙酸	1
苏氏火腿月饼	防腐剂	1
猪五花肉	五氯酚酸钠	2
红薯粉	铝	1
奶油味五香豆	糖精钠	1
黑斑蛙	恩诺沙星	1
香片	脱氢乙酸	1
苏式百果味月饼	霉菌	1
猪里脊肉	五氯酚酸钠	1
九鲜房鲜脆海蜇头	铝	1
榨榨油柑果汁茶饮料	咖啡因	1
石蛙	呋喃唑酮	4
鸡蛋糕	苯甲酸	1
四季豆	噻虫胺	4
香菇豆干	铝	2
豆腐干	铝	4
牛蛙肉	呋喃西林代谢物	1
黑鱼片	五氯酚酸钠	1
大头鱼	五氯酚酸钠	1
姜芽	苯甲酸	2
泥姜	噻虫胺	1
西梅	防腐剂	1
温州老酒	氨基酸态氮	2
放心老酒	总酸	1
喜饼	丙酸	1
喜饼	钙	1
西梅	山梨酸	1
喜饼	甜蜜素	1
喜饼	脱氢乙酸	1
宁波年糕	脱氢乙酸	1
姜芽	糖精钠	2
姜芽	甜蜜素	1
温州老酒	总酸	1
一脆夹心威化饼干	霉菌	1
小鱼仔	N-二甲基亚硝胺	1
一毛五巧克力口味雪糕	单核细胞增生李斯特氏菌	1
番茄	镉	1
胶原蛋白肽益生元代餐奶昔	霉菌	2
脆萝卜	糖精钠	1
黑脚鸡	呋喃西林代谢物	1
核桃月饼	苯甲酸	1
香鲜鱿鱼片	脱氢乙酸	1
腊肠	氯霉素	4
干裙带菜	铅	3
黄岩蜜桔	毒死蜱	1
黄岩蜜桔	丙溴磷	1
胖子紫菜	铅	1
精制云片糕	霉菌	1
杭椒	镉	2
楠溪江饮用天然水	亚硝酸盐	1
楠溪江饮用天然水	硝酸盐	1
海苔月饼	铝	2
鲜烤鱿鱼条	山梨酸	1
植脂末	霉菌	1
鱿鱼条	脱氢乙酸	1
醋大蒜头	苯甲酸	1
芹菜	苯醚甲环唑	2
椒盐月饼	防腐剂	1
瓜子	霉菌	1
苏式豆沙月饼	防腐剂	1
山核桃味香瓜子	甜蜜素	1
红油郫县豆瓣	氨基酸态氮	2
板鸭	苯甲酸	1
红辣椒	氟	1
干榨菜	苯甲酸	3
旺旺雪饼	山梨酸	1
洗姜	镉	1
旺旺仙贝	山梨酸	1
芒果汁饮料	山梨酸	1
芹菜	镉	4
大沼虾	恩诺沙星	1
扇贝	镉	1
青椒	甲胺磷	1
东方树叶乌龙茶原味茶饮料	茶多酚	7
青椒	水胺硫磷	1
青椒	杀扑磷	1
青椒	氟	1
青椒	甲拌磷	1
青椒	联苯菊酯	1
有机羽衣甘蓝粉	霉菌	1
自制水蜜桃味月饼	脱氢乙酸	1
大头菜	苯甲酸	9
广式水蜜桃味月饼	防腐剂	1
青椒	铅	1
萝卜干	亚硝酸盐	1
萝卜干	硝酸盐	1
青椒	乐果	1
自制板栗味月饼	脱氢乙酸	1
青椒	倍硫磷	1
面筋	脱氢乙酸	1
青椒	氯氰菊酯	1
青椒	敌敌畏	1
元宝牌大豆油	特丁基对苯二酚	1
有机韭菜	镉	1
白开水	耗氧量	1
烧仙草风味粉	霉菌	1
白开水	余氯	1
新疆红枣	霉菌	1
玫瑰味半梅	环己基氨基磺酸钠	1
玫瑰味半梅	甜蜜素	1
红茶	草甘膦	1
福临门非转基因大豆油	特丁基对苯二酚	1
红茶	吡虫啉	1
盐焗味鸭翅根	氯霉素	1
海南芝麻香蕉	吡虫啉	1
奶茶	脱氢乙酸	1
飞蟹	镉	1
老干姜	铅	1
麻辣豆干	苯甲酸	1
干榨菜	防腐剂	2
招牌话梅	霉菌	1
巴西莓粉	胭脂红	2
巴西莓粉	亮蓝	1
巴西莓粉	苋菜红	2
小花花发糕	霉菌	1
糖水型染色草莓罐头	诱惑红	1
话梅皇	糖精钠	1
米粉	苯甲酸	2
牛椒	啶虫脒	2
台式话梅	环己基氨基磺酸钠	1
台式话梅	甜蜜素	1
咸菜碎	苯甲酸	1
北方馒头	糖精钠	1
Q麻薯	霉菌	1
仙洞山泉	铜	1
生椰拿铁	苋菜红	1
生椰拿铁	铝	2
抹茶慕斯巧克力味曲奇	霉菌	1
菜籽油	叔丁基对苯二酚	2
玉米粿	苯甲酸	1
香辣海带	苯甲酸	2
玉米红豆馒头	脱氢乙酸	1
婴儿配方奶粉	碘	2
生椰拿铁	胭脂红	1
红枣坚果银耳羹	霉菌	1
馒头	山梨酸	1
猪里脊肉	氯霉素	2
草鱼	孔雀石绿	1
貝因美贝因美特殊医学用途婴儿无乳糖配方食品	α-亚麻酸	1
貝因美贝因美特殊医学用途婴儿无乳糖配方食品	亚油酸	1
貝因美贝因美特殊医学用途婴儿无乳糖配方食品	亚麻酸	1
貝因美贝因美特殊医学用途婴儿无乳糖配方食品	油酸	1
辣明太鱼	山梨酸	1
泡椒	镉	1
山东老姜	噻虫胺	1
南瓜子	糖精钠	1
桂花莲子西湖藕粉	铅	1
婴儿配方奶粉	钙	1
花雕料酒	糖精钠	1
花雕料酒	脱氢乙酸	1
花雕料酒	山梨酸	1
花雕料酒	苯甲酸	1
虎跑井泉	铜	1
婴儿配方奶粉	α-亚麻酸	2
